,ds,holiday_0,holiday_1,holiday_2,locale,transferred,y,onpromotion,transactions,day,month,day_of_month,day_of_year,week_of_year,day_of_week,is_weekend,is_month_start,is_month_end,quarter,is_quarter_start,is_quarter_end,is_year_start,is_year_end
0,2016-09-12,0,0,1,3.0,1,678776.4591265,5902.0,2545125.0,12,9,12,256,37,0,0,0,0,3,0,0,0,0
1,2016-09-13,0,0,1,3.0,1,603427.946974,7836.0,2443056.0,13,9,13,257,37,1,0,0,0,3,0,0,0,0
2,2016-09-14,0,0,1,3.0,1,624262.071976,13238.0,2412168.0,14,9,14,258,37,2,0,0,0,3,0,0,0,0
3,2016-09-15,0,0,1,3.0,1,568324.812986,8373.0,2466453.0,15,9,15,259,37,3,0,0,0,3,0,0,0,0
4,2016-09-16,0,0,1,3.0,1,691912.601466,14453.0,2666037.0,16,9,16,260,37,4,0,0,0,3,0,0,0,0
5,2016-09-17,0,0,1,3.0,1,899219.297508,9645.0,3111834.0,17,9,17,261,37,5,1,0,0,3,0,0,0,0
6,2016-09-18,0,0,1,3.0,1,1018662.657394,10453.0,3048375.0,18,9,18,262,37,6,1,0,0,3,0,0,0,0
7,2016-09-19,0,0,1,3.0,1,681159.341976,8924.0,2516415.0,19,9,19,263,38,0,0,0,0,3,0,0,0,0
8,2016-09-20,0,0,1,3.0,1,650980.3219717001,10992.0,2526876.0,20,9,20,264,38,1,0,0,0,3,0,0,0,0
9,2016-09-21,0,0,1,3.0,1,666928.400013,16166.0,2516580.0,21,9,21,265,38,2,0,0,0,3,0,0,0,0
10,2016-09-22,0,0,1,3.0,1,533276.332017,9185.0,2352306.0,22,9,22,266,38,3,0,0,0,3,0,0,0,0
11,2016-09-23,0,0,1,3.0,1,663685.9846653,14938.0,2587926.0,23,9,23,267,38,4,0,0,0,3,0,0,0,0
12,2016-09-24,0,0,1,3.0,1,861830.389997,10165.0,3002340.0,24,9,24,268,38,5,1,0,0,3,0,0,0,0
13,2016-09-25,0,0,1,3.0,1,952352.5509251,10902.0,2893671.0,25,9,25,269,38,6,1,0,0,3,0,0,0,0
14,2016-09-26,0,0,1,3.0,1,664217.4402937,9248.0,2476650.0,26,9,26,270,39,0,0,0,0,3,0,0,0,0
15,2016-09-27,0,0,1,3.0,1,587908.3278165,11118.0,2256375.0,27,9,27,271,39,1,0,0,0,3,0,0,0,0
16,2016-09-28,0,1,0,2.0,0,631761.1750463,15766.0,2401476.0,28,9,28,272,39,2,0,0,0,3,0,0,0,0
17,2016-09-29,0,0,1,3.0,1,520744.9210333,8746.0,2276076.0,29,9,29,273,39,3,0,0,0,3,0,0,0,0
18,2016-09-30,0,0,1,3.0,1,703198.490806,14020.0,2611125.0,30,9,30,274,39,4,0,0,1,3,0,1,0,0
19,2016-10-01,0,0,1,3.0,1,1175033.65823,9040.0,3401145.0,1,10,1,275,39,5,1,1,0,4,1,0,0,0
20,2016-10-02,0,0,1,3.0,1,1256480.1709663,10009.0,3279738.0,2,10,2,276,39,6,1,0,0,4,0,0,0,0
21,2016-10-03,0,0,1,3.0,1,833060.55889,8527.0,2774838.0,3,10,3,277,40,0,0,0,0,4,0,0,0,0
22,2016-10-04,0,0,1,3.0,1,724113.096039,11381.0,2619540.0,4,10,4,278,40,1,0,0,0,4,0,0,0,0
23,2016-10-05,0,0,1,3.0,1,749712.3000211,16510.0,2620299.0,5,10,5,279,40,2,0,0,0,4,0,0,0,0
24,2016-10-06,0,0,1,3.0,1,581429.340158,8844.0,2438436.0,6,10,6,280,40,3,0,0,0,4,0,0,0,0
25,2016-10-07,0,1,0,2.0,0,797612.239327,14565.0,2631321.0,7,10,7,281,40,4,0,0,0,4,0,0,0,0
26,2016-10-08,0,0,1,3.0,1,932551.706831,9965.0,3106686.0,8,10,8,282,40,5,1,0,0,4,0,0,0,0
27,2016-10-09,0,1,0,0.0,0,1088251.479908,10957.0,3087546.0,9,10,9,283,40,6,1,0,0,4,0,0,0,0
28,2016-10-10,0,0,1,3.0,1,725312.8469015,9518.0,2563803.0,10,10,10,284,41,0,0,0,0,4,0,0,0,0
29,2016-10-11,0,0,1,3.0,1,625271.993952,11499.0,2418834.0,11,10,11,285,41,1,0,0,0,4,0,0,0,0
30,2016-10-12,0,0,1,3.0,1,665126.077693,15499.0,2432793.0,12,10,12,286,41,2,0,0,0,4,0,0,0,0
31,2016-10-13,0,0,1,3.0,1,558859.8909975,9141.0,2331219.0,13,10,13,287,41,3,0,0,0,4,0,0,0,0
32,2016-10-14,0,0,1,3.0,1,667954.207226,14622.0,2611818.0,14,10,14,288,41,4,0,0,0,4,0,0,0,0
33,2016-10-15,0,0,1,3.0,1,890613.591114,9962.0,3061344.0,15,10,15,289,41,5,1,0,0,4,0,0,0,0
34,2016-10-16,0,0,1,3.0,1,1104504.6882152,11029.0,3100383.0,16,10,16,290,41,6,1,0,0,4,0,0,0,0
35,2016-10-17,0,0,1,3.0,1,710456.4240015,8913.0,2528262.0,17,10,17,291,42,0,0,0,0,4,0,0,0,0
36,2016-10-18,0,0,1,3.0,1,630638.592023,10764.0,2429856.0,18,10,18,292,42,1,0,0,0,4,0,0,0,0
37,2016-10-19,0,0,1,3.0,1,647823.468973,15074.0,2406723.0,19,10,19,293,42,2,0,0,0,4,0,0,0,0
38,2016-10-20,0,0,1,3.0,1,583001.280078,8438.0,2415468.0,20,10,20,294,42,3,0,0,0,4,0,0,0,0
39,2016-10-21,0,0,1,3.0,1,669453.5420583,13952.0,2582085.0,21,10,21,295,42,4,0,0,0,4,0,0,0,0
40,2016-10-22,0,0,1,3.0,1,843626.415914,8824.0,2965281.0,22,10,22,296,42,5,1,0,0,4,0,0,0,0
41,2016-10-23,0,0,1,3.0,1,1022953.689959,10108.0,2998578.0,23,10,23,297,42,6,1,0,0,4,0,0,0,0
42,2016-10-24,0,0,1,3.0,1,668507.6451983,8278.0,2420682.0,24,10,24,298,43,0,0,0,0,4,0,0,0,0
43,2016-10-25,0,0,1,3.0,1,610590.8979547,10318.0,2411442.0,25,10,25,299,43,1,0,0,0,4,0,0,0,0
44,2016-10-26,0,0,1,3.0,1,633413.8905697,20046.0,2402994.0,26,10,26,300,43,2,0,0,0,4,0,0,0,0
45,2016-10-27,0,0,1,3.0,1,544361.4798829,12296.0,2359698.0,27,10,27,301,43,3,0,0,0,4,0,0,0,0
46,2016-10-28,0,0,1,3.0,1,638838.252231,18399.0,2536908.0,28,10,28,302,43,4,0,0,0,4,0,0,0,0
47,2016-10-29,0,0,1,3.0,1,841074.6969995,15002.0,2984124.0,29,10,29,303,43,5,1,0,0,4,0,0,0,0
48,2016-10-30,0,0,1,3.0,1,954838.191008,15945.0,2928552.0,30,10,30,304,43,6,1,0,0,4,0,0,0,0
49,2016-10-31,0,0,1,3.0,1,654923.5029715,13089.0,2507604.0,31,10,31,305,44,0,0,0,1,4,0,0,0,0
50,2016-11-01,0,0,1,3.0,1,811832.445984,15036.0,2806650.0,1,11,1,306,44,1,0,1,0,4,0,0,0,0
51,2016-11-02,0,1,0,0.0,0,969033.618953,21832.0,2984982.0,2,11,2,307,44,2,0,0,0,4,0,0,0,0
52,2016-11-03,0,1,0,0.0,0,793811.6841115,13041.0,2723325.0,3,11,3,308,44,3,0,0,0,4,0,0,0,0
53,2016-11-04,0,1,1,0.0,0,858468.216477,17726.0,2830146.0,4,11,4,309,44,4,0,0,0,4,0,0,0,0
54,2016-11-05,0,0,1,3.0,1,887751.298669,13143.0,2931060.0,5,11,5,310,44,5,1,0,0,4,0,0,0,0
55,2016-11-06,0,1,0,1.0,0,1140367.104134,14731.0,3040950.0,6,11,6,311,44,6,1,0,0,4,0,0,0,0
56,2016-11-07,0,1,0,1.0,0,849451.0429045,12332.0,2742762.0,7,11,7,312,45,0,0,0,0,4,0,0,0,0
57,2016-11-08,0,0,1,3.0,1,767439.628434,13995.0,2637261.0,8,11,8,313,45,1,0,0,0,4,0,0,0,0
58,2016-11-09,0,0,1,3.0,1,790276.839009,21413.0,2642541.0,9,11,9,314,45,2,0,0,0,4,0,0,0,0
59,2016-11-10,0,1,0,2.0,0,588241.7590247,11964.0,2401344.0,10,11,10,315,45,3,0,0,0,4,0,0,0,0
60,2016-11-11,0,1,0,2.0,0,713396.4541223,17688.0,2600895.0,11,11,11,316,45,4,0,0,0,4,0,0,0,0
61,2016-11-12,0,1,0,2.0,0,929802.771943,13278.0,3059628.0,12,11,12,317,45,5,1,0,0,4,0,0,0,0
62,2016-11-12,1,0,0,0.0,0,929802.771943,13278.0,3059628.0,12,11,12,317,45,5,1,0,0,4,0,0,0,0
63,2016-11-13,0,0,1,3.0,1,1188982.232398,14446.0,3247497.0,13,11,13,318,45,6,1,0,0,4,0,0,0,0
64,2016-11-14,0,0,1,3.0,1,735723.172977,10519.0,2551461.0,14,11,14,319,46,0,0,0,0,4,0,0,0,0
65,2016-11-15,0,0,1,3.0,1,691801.6290437999,13178.0,2529483.0,15,11,15,320,46,1,0,0,0,4,0,0,0,0
66,2016-11-16,0,0,1,3.0,1,830431.7415873,20041.0,2692899.0,16,11,16,321,46,2,0,0,0,4,0,0,0,0
67,2016-11-17,0,0,1,3.0,1,615228.2560159,9983.0,2474967.0,17,11,17,322,46,3,0,0,0,4,0,0,0,0
68,2016-11-18,0,0,1,3.0,1,738265.552222,15252.0,2701182.0,18,11,18,323,46,4,0,0,0,4,0,0,0,0
69,2016-11-19,0,0,1,3.0,1,935656.0010137,11708.0,3128103.0,19,11,19,324,46,5,1,0,0,4,0,0,0,0
70,2016-11-20,0,0,1,3.0,1,1125178.987911,12877.0,3180144.0,20,11,20,325,46,6,1,0,0,4,0,0,0,0
71,2016-11-21,0,0,1,3.0,1,773762.280859,11295.0,2690688.0,21,11,21,326,47,0,0,0,0,4,0,0,0,0
72,2016-11-22,0,0,1,3.0,1,690281.251004,13276.0,2664684.0,22,11,22,327,47,1,0,0,0,4,0,0,0,0
73,2016-11-23,0,0,1,3.0,1,753685.041456,20488.0,2718870.0,23,11,23,328,47,2,0,0,0,4,0,0,0,0
74,2016-11-24,0,0,1,3.0,1,595457.3062203,11234.0,2523807.0,24,11,24,329,47,3,0,0,0,4,0,0,0,0
75,2016-11-25,1,0,1,0.0,0,737819.484836,17137.0,2870373.0,25,11,25,330,47,4,0,0,0,4,0,0,0,0
76,2016-11-26,0,0,1,3.0,1,908066.823384,12489.0,3192684.0,26,11,26,331,47,5,1,0,0,4,0,0,0,0
77,2016-11-27,0,0,1,3.0,1,1056721.5920875,13624.0,3155724.0,27,11,27,332,47,6,1,0,0,4,0,0,0,0
78,2016-11-28,1,0,1,0.0,0,752583.7680527,11861.0,2630661.0,28,11,28,333,48,0,0,0,0,4,0,0,0,0
79,2016-11-29,0,0,1,3.0,1,645760.5082353,13347.0,2456817.0,29,11,29,334,48,1,0,0,0,4,0,0,0,0
80,2016-11-30,0,0,1,3.0,1,767361.704324,19424.0,2662440.0,30,11,30,335,48,2,0,0,1,4,0,0,0,0
81,2016-12-01,0,0,1,3.0,1,843603.315088,12985.0,2793351.0,1,12,1,336,48,3,0,1,0,4,0,0,0,0
82,2016-12-02,0,0,1,3.0,1,853454.930795,18819.0,2863575.0,2,12,2,337,48,4,0,0,0,4,0,0,0,0
83,2016-12-03,0,0,1,3.0,1,1113440.567059,14279.0,3380157.0,3,12,3,338,48,5,1,0,0,4,0,0,0,0
84,2016-12-04,0,0,1,3.0,1,1276195.0362097,15186.0,3428931.0,4,12,4,339,48,6,1,0,0,4,0,0,0,0
85,2016-12-05,1,1,0,2.0,0,896824.938971,13159.0,2935251.0,5,12,5,340,49,0,0,0,0,4,0,0,0,0
86,2016-12-06,0,1,0,2.0,0,932546.385931,15573.0,3059100.0,6,12,6,341,49,1,0,0,0,4,0,0,0,0
87,2016-12-07,0,0,1,3.0,1,867653.7351403,26861.0,2927067.0,7,12,7,342,49,2,0,0,0,4,0,0,0,0
88,2016-12-08,0,1,0,2.0,0,674077.382905,13681.0,2724150.0,8,12,8,343,49,3,0,0,0,4,0,0,0,0
89,2016-12-09,0,0,1,3.0,1,774941.923982,19275.0,2993859.0,9,12,9,344,49,4,0,0,0,4,0,0,0,0
90,2016-12-10,0,0,1,3.0,1,920050.745917,14826.0,3320394.0,10,12,10,345,49,5,1,0,0,4,0,0,0,0
91,2016-12-11,0,0,1,3.0,1,1119324.243986,16281.0,3335541.0,11,12,11,346,49,6,1,0,0,4,0,0,0,0
92,2016-12-12,0,0,1,3.0,1,844251.703802,13791.0,2841069.0,12,12,12,347,50,0,0,0,0,4,0,0,0,0
93,2016-12-13,0,0,1,3.0,1,747161.615593,16204.0,2835591.0,13,12,13,348,50,1,0,0,0,4,0,0,0,0
94,2016-12-14,0,0,1,3.0,1,829763.2190675,21728.0,2950761.0,14,12,14,349,50,2,0,0,0,4,0,0,0,0
95,2016-12-15,0,0,1,3.0,1,747641.1828753001,14623.0,3020325.0,15,12,15,350,50,3,0,0,0,4,0,0,0,0
96,2016-12-16,0,0,1,3.0,1,918899.786306,20131.0,3290661.0,16,12,16,351,50,4,0,0,0,4,0,0,0,0
97,2016-12-17,0,0,1,3.0,1,1071655.6282493,15863.0,3777345.0,17,12,17,352,50,5,1,0,0,4,0,0,0,0
98,2016-12-18,0,0,1,3.0,1,1260471.9085900001,17228.0,3837537.0,18,12,18,353,50,6,1,0,0,4,0,0,0,0
99,2016-12-19,0,0,1,3.0,1,1028242.8227987,15014.0,3523080.0,19,12,19,354,51,0,0,0,0,4,0,0,0,0
100,2016-12-20,0,0,1,3.0,1,1080402.388032,17863.0,3840936.0,20,12,20,355,51,1,0,0,0,4,0,0,0,0
101,2016-12-21,1,1,0,0.0,0,1181307.3270735,23427.0,4357980.0,21,12,21,356,51,2,0,0,0,4,0,0,0,0
102,2016-12-22,1,1,0,0.0,0,1135849.391084,15486.0,4583436.0,22,12,22,357,51,3,0,0,0,4,0,0,0,0
103,2016-12-22,0,1,0,2.0,0,1135849.391084,15486.0,4583436.0,22,12,22,357,51,3,0,0,0,4,0,0,0,0
104,2016-12-23,1,1,0,0.0,0,1282145.5171351,21531.0,5178756.0,23,12,23,358,51,4,0,0,0,4,0,0,0,0
105,2016-12-24,1,1,0,0.0,0,1246837.8430543,15250.0,5528886.0,24,12,24,359,51,5,1,0,0,4,0,0,0,0
106,2016-12-26,1,1,0,0.0,0,1032770.748898,14818.0,3482292.0,26,12,26,361,52,0,0,0,0,4,0,0,0,0
107,2016-12-27,0,0,1,3.0,1,842475.490118,16147.0,3156219.0,27,12,27,362,52,1,0,0,0,4,0,0,0,0
108,2016-12-28,0,0,1,3.0,1,951533.7138481,23634.0,3422661.0,28,12,28,363,52,2,0,0,0,4,0,0,0,0
109,2016-12-29,0,0,1,3.0,1,894108.236835,15877.0,3387945.0,29,12,29,364,52,3,0,0,0,4,0,0,0,0
110,2016-12-30,0,0,1,3.0,1,1163643.0379923,21974.0,4216443.0,30,12,30,365,52,4,0,0,0,4,0,0,0,0
111,2016-12-31,1,1,0,0.0,0,1109012.812049,15984.0,4473744.0,31,12,31,366,52,5,1,0,1,4,0,1,0,1
112,2017-01-01,0,1,0,0.0,1,12082.500997,170.0,54186.0,1,1,1,1,52,6,1,1,0,1,1,0,1,0
113,2017-01-02,1,1,1,0.0,0,1402306.370834,11812.0,3554694.0,2,1,2,2,1,0,0,0,0,1,0,0,0,0
114,2017-01-03,0,0,1,3.0,1,1104377.0798245,13906.0,3207105.0,3,1,3,3,1,1,0,0,0,1,0,0,0,0
115,2017-01-04,0,0,1,3.0,1,990093.463742,22918.0,3020391.0,4,1,4,4,1,2,0,0,0,1,0,0,0,0
116,2017-01-05,0,0,1,3.0,1,777620.9540695,8550.0,2802690.0,5,1,5,5,1,3,0,0,0,1,0,0,0,0
117,2017-01-06,0,0,1,3.0,1,839600.237989,15539.0,2968779.0,6,1,6,6,1,4,0,0,0,1,0,0,0,0
118,2017-01-07,0,0,1,3.0,1,1103806.298949,10406.0,3397482.0,7,1,7,7,1,5,1,0,0,1,0,0,0,0
119,2017-01-08,0,0,1,3.0,1,1192543.750978,11277.0,3193872.0,8,1,8,8,1,6,1,0,0,1,0,0,0,0
120,2017-01-09,0,0,1,3.0,1,793724.8969065,9647.0,2709663.0,9,1,9,9,2,0,0,0,0,1,0,0,0,0
121,2017-01-10,0,0,1,3.0,1,742635.5692609,11820.0,2637756.0,10,1,10,10,2,1,0,0,0,1,0,0,0,0
122,2017-01-11,0,0,1,3.0,1,770742.690065,17301.0,2662836.0,11,1,11,11,2,2,0,0,0,1,0,0,0,0
123,2017-01-12,0,0,1,3.0,1,629635.794004,9601.0,2497803.0,12,1,12,12,2,3,0,0,0,1,0,0,0,0
124,2017-01-13,0,0,1,3.0,1,768898.9443882,15674.0,2774244.0,13,1,13,13,2,4,0,0,0,1,0,0,0,0
125,2017-01-14,0,0,1,3.0,1,1021050.536226,10682.0,3297393.0,14,1,14,14,2,5,1,0,0,1,0,0,0,0
126,2017-01-15,0,0,1,3.0,1,1175725.165838,11548.0,3204531.0,15,1,15,15,2,6,1,0,0,1,0,0,0,0
127,2017-01-16,0,0,1,3.0,1,824488.666175,9912.0,2773254.0,16,1,16,16,3,0,0,0,0,1,0,0,0,0
128,2017-01-17,0,0,1,3.0,1,750836.542952,12064.0,2643069.0,17,1,17,17,3,1,0,0,0,1,0,0,0,0
129,2017-01-18,0,0,1,3.0,1,782656.0246723,18723.0,2672472.0,18,1,18,18,3,2,0,0,0,1,0,0,0,0
130,2017-01-19,0,0,1,3.0,1,606949.7448793,9633.0,2454804.0,19,1,19,19,3,3,0,0,0,1,0,0,0,0
131,2017-01-20,0,0,1,3.0,1,725703.6910875,14854.0,2605317.0,20,1,20,20,3,4,0,0,0,1,0,0,0,0
132,2017-01-21,0,0,1,3.0,1,1072721.724905,10194.0,3359829.0,21,1,21,21,3,5,1,0,0,1,0,0,0,0
133,2017-01-22,0,0,1,3.0,1,1148214.358454,11257.0,3200967.0,22,1,22,22,3,6,1,0,0,1,0,0,0,0
134,2017-01-23,0,0,1,3.0,1,798133.612125,9356.0,2753058.0,23,1,23,23,4,0,0,0,0,1,0,0,0,0
135,2017-01-24,0,0,1,3.0,1,721275.774781,11940.0,2611917.0,24,1,24,24,4,1,0,0,0,1,0,0,0,0
136,2017-01-25,0,0,1,3.0,1,744342.5929227,18532.0,2617395.0,25,1,25,25,4,2,0,0,0,1,0,0,0,0
137,2017-01-26,0,0,1,3.0,1,576515.5369877,7562.0,2394183.0,26,1,26,26,4,3,0,0,0,1,0,0,0,0
138,2017-01-27,0,0,1,3.0,1,722113.958837,13112.0,2728473.0,27,1,27,27,4,4,0,0,0,1,0,0,0,0
139,2017-01-28,0,0,1,3.0,1,977850.40585,8264.0,3214068.0,28,1,28,28,4,5,1,0,0,1,0,0,0,0
140,2017-01-29,0,0,1,3.0,1,1075166.993043,9260.0,3026001.0,29,1,29,29,4,6,1,0,0,1,0,0,0,0
141,2017-01-30,0,0,1,3.0,1,698123.768037,7330.0,2477838.0,30,1,30,30,5,0,0,0,0,1,0,0,0,0
142,2017-01-31,0,0,1,3.0,1,778222.285925,10584.0,2707914.0,31,1,31,31,5,1,0,0,1,1,0,0,0,0
143,2017-02-01,0,0,1,3.0,1,961777.382874,16375.0,2902812.0,1,2,1,32,5,2,0,1,0,1,0,0,0,0
144,2017-02-02,0,0,1,3.0,1,748882.732615,8017.0,2741211.0,2,2,2,33,5,3,0,0,0,1,0,0,0,0
145,2017-02-03,0,0,1,3.0,1,834667.1519293,13655.0,2922975.0,3,2,3,34,5,4,0,0,0,1,0,0,0,0
146,2017-02-04,0,0,1,3.0,1,1132788.541413,8302.0,3475296.0,4,2,4,35,5,5,1,0,0,1,0,0,0,0
147,2017-02-05,0,0,1,3.0,1,1151987.631095,9052.0,3221790.0,5,2,5,36,5,6,1,0,0,1,0,0,0,0
148,2017-02-06,0,0,1,3.0,1,786672.394181,7734.0,2790381.0,6,2,6,37,6,0,0,0,0,1,0,0,0,0
149,2017-02-07,0,0,1,3.0,1,739431.213302,9964.0,2752266.0,7,2,7,38,6,1,0,0,0,1,0,0,0,0
150,2017-02-08,0,0,1,3.0,1,783605.377185,19103.0,2768403.0,8,2,8,39,6,2,0,0,0,1,0,0,0,0
151,2017-02-09,0,0,1,3.0,1,624387.487899,7213.0,2553606.0,9,2,9,40,6,3,0,0,0,1,0,0,0,0
152,2017-02-10,0,0,1,3.0,1,752207.2398545,12607.0,2849847.0,10,2,10,41,6,4,0,0,0,1,0,0,0,0
153,2017-02-11,0,0,1,3.0,1,944924.65301,7840.0,3208029.0,11,2,11,42,6,5,1,0,0,1,0,0,0,0
154,2017-02-12,0,0,1,3.0,1,1074820.900014,8800.0,3083157.0,12,2,12,43,6,6,1,0,0,1,0,0,0,0
155,2017-02-13,0,0,1,3.0,1,794314.4320675,7527.0,3091704.0,13,2,13,44,7,0,0,0,0,1,0,0,0,0
156,2017-02-14,0,0,1,3.0,1,642613.187069,9653.0,3279243.0,14,2,14,45,7,1,0,0,0,1,0,0,0,0
157,2017-02-15,0,0,1,3.0,1,745780.355084,17201.0,2656533.0,15,2,15,46,7,2,0,0,0,1,0,0,0,0
158,2017-02-16,0,0,1,3.0,1,645968.2570671,8104.0,2570271.0,16,2,16,47,7,3,0,0,0,1,0,0,0,0
159,2017-02-17,0,0,1,3.0,1,758855.71279,13615.0,2785134.0,17,2,17,48,7,4,0,0,0,1,0,0,0,0
160,2017-02-18,0,0,1,3.0,1,1063394.844003,8434.0,3346530.0,18,2,18,49,7,5,1,0,0,1,0,0,0,0
161,2017-02-19,0,0,1,3.0,1,858897.1230135,9119.0,2704317.0,19,2,19,50,7,6,1,0,0,1,0,0,0,0
162,2017-02-20,0,0,1,3.0,1,759120.0599607,8008.0,2622510.0,20,2,20,51,8,0,0,0,0,1,0,0,0,0
163,2017-02-21,0,0,1,3.0,1,717807.6770255,10436.0,2633631.0,21,2,21,52,8,1,0,0,0,1,0,0,0,0
164,2017-02-22,0,0,1,3.0,1,739388.0344027,16096.0,2633004.0,22,2,22,53,8,2,0,0,0,1,0,0,0,0
165,2017-02-23,0,0,1,3.0,1,675578.500156,8374.0,2732235.0,23,2,23,54,8,3,0,0,0,1,0,0,0,0
166,2017-02-24,0,0,1,3.0,1,816197.498952,14147.0,2942610.0,24,2,24,55,8,4,0,0,0,1,0,0,0,0
167,2017-02-25,0,0,1,3.0,1,1026011.2228075,9005.0,3341415.0,25,2,25,56,8,5,1,0,0,1,0,0,0,0
168,2017-02-26,0,0,1,3.0,1,775708.987978,9260.0,2668380.0,26,2,26,57,8,6,1,0,0,1,0,0,0,0
