,ds,holiday_0,holiday_1,holiday_2,locale,transferred,y,onpromotion,transactions
0,2013-01-01,0,0,1,0.0,0,2511.618999,0.0,25410.0
1,2013-01-02,0,1,0,3.0,0,496092.417944,0.0,3076095.0
2,2013-01-03,0,1,0,3.0,0,361461.231124,0.0,2590632.0
3,2013-01-04,0,1,0,3.0,0,354459.6770927,0.0,2590302.0
4,2013-01-05,0,1,1,0.0,0,477350.121229,0.0,3087909.0
5,2013-01-06,0,1,0,3.0,0,519695.401088,0.0,2985312.0
6,2013-01-07,0,1,0,3.0,0,336122.801066,0.0,2494701.0
7,2013-01-08,0,1,0,3.0,0,318347.777981,0.0,2386725.0
8,2013-01-09,0,1,0,3.0,0,302530.809018,0.0,2375043.0
9,2013-01-10,0,1,0,3.0,0,258982.003049,0.0,2190639.0
10,2013-01-11,0,1,0,3.0,0,289737.6850845,0.0,2321154.0
11,2013-01-12,0,1,1,0.0,0,403258.2120105,0.0,2821863.0
12,2013-01-13,0,1,0,3.0,0,464638.547998,0.0,2848098.0
13,2013-01-14,0,1,0,3.0,0,293348.362078,0.0,2312574.0
14,2013-01-15,0,1,0,3.0,0,299129.549954,0.0,2347422.0
15,2013-01-16,0,1,0,3.0,0,318347.913946,0.0,2391543.0
16,2013-01-17,0,1,0,3.0,0,267498.5159755,0.0,2272809.0
17,2013-01-18,0,1,0,3.0,0,296130.850028,0.0,2355243.0
18,2013-01-19,0,1,0,3.0,0,432459.852021,0.0,2922414.0
19,2013-01-20,0,1,0,3.0,0,461092.386047,0.0,2814273.0
20,2013-01-21,0,1,0,3.0,0,311211.26595000003,0.0,2417250.0
21,2013-01-22,0,1,0,3.0,0,296214.728983,0.0,2276604.0
22,2013-01-23,0,1,0,3.0,0,283258.4530325,0.0,2304027.0
23,2013-01-24,0,1,0,3.0,0,247245.690995,0.0,2102265.0
24,2013-01-25,0,1,0,3.0,0,290022.77193,0.0,2352009.0
25,2013-01-26,0,1,0,3.0,0,413799.7679753,0.0,2904726.0
26,2013-01-27,0,1,0,3.0,0,430411.991233,0.0,2749032.0
27,2013-01-28,0,1,0,3.0,0,285460.169953,0.0,2322837.0
28,2013-01-29,0,1,0,3.0,0,264488.81807649997,0.0,2258355.0
29,2013-01-30,0,1,0,3.0,0,281061.127052,0.0,2339304.0
30,2013-01-31,0,1,0,3.0,0,271254.217996,0.0,2318844.0
31,2013-02-01,0,1,0,3.0,0,369402.055266,0.0,2583966.0
32,2013-02-02,0,1,0,3.0,0,518887.462705,0.0,3212451.0
33,2013-02-03,0,1,0,3.0,0,486336.82018,0.0,2871858.0
34,2013-02-04,0,1,0,3.0,0,344308.715017,0.0,2485890.0
35,2013-02-05,0,1,0,3.0,0,321245.83913,0.0,2514798.0
36,2013-02-06,0,1,0,3.0,0,321538.177149,0.0,2484603.0
37,2013-02-07,0,1,0,3.0,0,290807.530973,0.0,2402037.0
38,2013-02-08,0,1,0,3.0,0,347441.789912,0.0,2630958.0
39,2013-02-09,0,1,0,3.0,0,416176.2790747,0.0,2981286.0
40,2013-02-10,0,1,0,3.0,0,300951.328993,0.0,2308779.0
41,2013-02-11,0,0,1,0.0,0,278627.588926,0.0,2218326.0
42,2013-02-12,0,0,1,0.0,0,308800.7909121,0.0,2369664.0
43,2013-02-13,0,1,0,3.0,0,319597.929962,0.0,2643234.0
44,2013-02-14,0,1,0,3.0,0,308164.016957,0.0,2926473.0
45,2013-02-15,0,1,0,3.0,0,320168.883912,0.0,2501037.0
46,2013-02-16,0,1,0,3.0,0,485660.494008,0.0,3062928.0
47,2013-02-17,0,1,0,3.0,0,399588.910014,0.0,2555817.0
48,2013-02-18,0,1,0,3.0,0,350745.573191,0.0,2522421.0
49,2013-02-19,0,1,0,3.0,0,293637.801951,0.0,2331285.0
50,2013-02-20,0,1,0,3.0,0,313803.162034,0.0,2435796.0
51,2013-02-21,0,1,0,3.0,0,267711.1090155,0.0,2252118.0
52,2013-02-22,0,1,0,3.0,0,285679.869131,0.0,2340162.0
53,2013-02-23,0,1,0,3.0,0,412897.349113,0.0,2916870.0
54,2013-02-24,0,1,0,3.0,0,452726.126103,0.0,2776125.0
55,2013-02-25,0,1,0,3.0,0,307110.875933,0.0,2381511.0
56,2013-02-26,0,1,0,3.0,0,270425.0070675,0.0,2267298.0
57,2013-02-27,0,1,0,3.0,0,288401.998919,0.0,2315610.0
58,2013-02-28,0,1,0,3.0,0,278116.291888,0.0,2303994.0
59,2013-03-01,0,1,0,3.0,0,378898.165064,0.0,2624292.0
60,2013-03-02,0,0,1,2.0,0,547857.205258,0.0,3254328.0
61,2013-03-03,0,1,0,3.0,0,559820.580027,0.0,3059628.0
62,2013-03-04,0,1,0,3.0,0,383647.679097,0.0,2609574.0
63,2013-03-05,0,1,0,3.0,0,332189.993189,0.0,2479422.0
64,2013-03-06,0,1,0,3.0,0,335726.580968,0.0,2525127.0
65,2013-03-07,0,1,0,3.0,0,293099.52701,0.0,2439030.0
66,2013-03-08,0,1,0,3.0,0,316600.679967,0.0,2581623.0
67,2013-03-09,0,1,0,3.0,0,453259.496866,0.0,3051246.0
68,2013-03-10,0,1,0,3.0,0,461859.756153,0.0,2848626.0
69,2013-03-11,0,1,0,3.0,0,318379.133021,0.0,2480313.0
70,2013-03-12,0,1,0,3.0,0,271823.37801,0.0,2288418.0
71,2013-03-13,0,1,0,3.0,0,287869.663972,0.0,2376330.0
72,2013-03-14,0,1,0,3.0,0,247541.420096,0.0,2223969.0
73,2013-03-15,0,1,0,3.0,0,315878.090213,0.0,2492589.0
74,2013-03-16,0,1,0,3.0,0,482233.433961,0.0,3032700.0
75,2013-03-17,0,1,0,3.0,0,513439.584913,0.0,2948418.0
76,2013-03-18,0,1,0,3.0,0,330283.80303,0.0,2455794.0
77,2013-03-19,0,1,0,3.0,0,294020.245897,0.0,2370753.0
78,2013-03-20,0,1,0,3.0,0,321207.006946,0.0,2446785.0
79,2013-03-21,0,1,0,3.0,0,269130.127953,0.0,2282181.0
80,2013-03-22,0,1,0,3.0,0,304100.453969,0.0,2375670.0
81,2013-03-23,0,1,0,3.0,0,453192.003086,0.0,3033459.0
82,2013-03-24,0,1,0,3.0,0,449794.636951,0.0,2753487.0
83,2013-03-25,0,1,0,3.0,0,317559.6099585,0.0,2408736.0
84,2013-03-26,0,1,0,3.0,0,275818.2359,0.0,2259477.0
85,2013-03-27,0,1,0,3.0,0,313691.148998,0.0,2443617.0
86,2013-03-28,0,1,0,3.0,0,339293.269022,0.0,2709432.0
87,2013-03-29,0,1,0,3.0,0,345513.132,0.0,2566773.0
88,2013-03-30,0,1,0,3.0,0,452661.356036,0.0,2990163.0
89,2013-03-31,0,1,0,3.0,0,462107.639956,0.0,2724579.0
90,2013-04-01,0,0,1,1.0,0,428816.447912,0.0,2695374.0
91,2013-04-02,0,1,0,3.0,0,377732.827961,0.0,2546445.0
92,2013-04-03,0,1,0,3.0,0,373731.0758793,0.0,2591622.0
93,2013-04-04,0,1,0,3.0,0,308738.385963,0.0,2383161.0
94,2013-04-05,0,1,0,3.0,0,336394.782031,0.0,2472624.0
95,2013-04-06,0,1,0,3.0,0,509424.214023,0.0,3129852.0
96,2013-04-07,0,1,0,3.0,0,519048.376884,0.0,2943039.0
97,2013-04-08,0,1,0,3.0,0,346649.815943,0.0,2480313.0
98,2013-04-09,0,1,0,3.0,0,306335.8019617,0.0,2356728.0
99,2013-04-10,0,1,0,3.0,0,312846.374941,0.0,2441637.0
100,2013-04-11,0,1,0,3.0,0,303223.41301,0.0,2372931.0
101,2013-04-12,0,0,1,2.0,0,314394.967035,0.0,2488299.0
102,2013-04-13,0,1,0,3.0,0,453442.497048,0.0,3041478.0
103,2013-04-14,0,0,1,2.0,0,478417.148813,0.0,2864499.0
104,2013-04-15,0,1,0,3.0,0,338712.458055,0.0,2516283.0
105,2013-04-16,0,1,0,3.0,0,333431.880049,0.0,2448171.0
106,2013-04-17,0,1,0,3.0,0,334990.518942,0.0,2459457.0
107,2013-04-18,0,1,0,3.0,0,281924.509951,0.0,2255319.0
108,2013-04-19,0,1,0,3.0,0,311588.70494,0.0,2412927.0
109,2013-04-20,0,1,0,3.0,0,459884.838043,0.0,3036462.0
110,2013-04-21,0,0,1,2.0,0,485721.032087,0.0,2884233.0
111,2013-04-22,0,1,0,3.0,0,328886.320986,0.0,2480181.0
112,2013-04-23,0,1,0,3.0,0,302097.8329435,0.0,2364681.0
113,2013-04-24,0,1,0,3.0,0,310555.184925,0.0,2409099.0
114,2013-04-25,0,1,0,3.0,0,268790.618996,0.0,2274261.0
115,2013-04-26,0,1,0,3.0,0,304413.556952,0.0,2402829.0
116,2013-04-27,0,1,0,3.0,0,446665.337895,0.0,2964225.0
117,2013-04-28,0,1,0,3.0,0,477623.4729303,0.0,2863509.0
118,2013-04-29,0,0,1,0.0,0,328795.874018,0.0,2376297.0
119,2013-04-30,0,1,0,3.0,0,310186.466894,0.0,2425929.0
120,2013-05-01,0,0,1,0.0,0,507974.636889,0.0,2988084.0
121,2013-05-02,0,1,0,3.0,0,348709.460063,0.0,2430087.0
122,2013-05-03,0,1,0,3.0,0,374291.2510323,0.0,2530605.0
123,2013-05-04,0,1,0,3.0,0,520339.51596499997,0.0,3190737.0
124,2013-05-05,0,1,0,3.0,0,580268.550981,0.0,3141996.0
125,2013-05-06,0,1,0,3.0,0,369869.383046,0.0,2520639.0
126,2013-05-07,0,1,0,3.0,0,317292.964148,0.0,2394579.0
127,2013-05-08,0,1,0,3.0,0,332477.410968,0.0,2468466.0
128,2013-05-09,0,1,0,3.0,0,305868.0570225,0.0,2475825.0
129,2013-05-10,0,1,0,3.0,0,335937.441949,0.0,2649306.0
130,2013-05-11,1,0,0,0.0,0,512090.58108,0.0,3678972.0
131,2013-05-12,1,0,1,0.0,0,387860.5050145,0.0,2963070.0
132,2013-05-12,0,0,1,2.0,0,387860.5050145,0.0,2963070.0
133,2013-05-13,0,1,0,3.0,0,350598.06187,0.0,2495625.0
134,2013-05-14,0,1,0,3.0,0,308469.313119,0.0,2362437.0
135,2013-05-15,0,1,0,3.0,0,329113.560081,0.0,2455233.0
136,2013-05-16,0,1,0,3.0,0,307556.946937,0.0,2352471.0
137,2013-05-17,0,1,0,3.0,0,330004.241998,0.0,2465265.0
138,2013-05-18,0,1,0,3.0,0,480969.558942,0.0,3035109.0
139,2013-05-19,0,1,0,3.0,0,518153.554009,0.0,2938023.0
140,2013-05-20,0,1,0,3.0,0,341787.214991,0.0,2462229.0
141,2013-05-21,0,1,0,3.0,0,307178.399952,0.0,2329833.0
142,2013-05-22,0,1,0,3.0,0,301785.4831075,0.0,2368179.0
143,2013-05-23,0,1,0,3.0,0,289261.058026,0.0,2337819.0
144,2013-05-24,0,0,1,0.0,0,398389.241982,0.0,2605185.0
145,2013-05-25,0,1,0,3.0,0,417930.141993,0.0,2812590.0
146,2013-05-26,0,1,0,3.0,0,450631.400068,0.0,2701677.0
147,2013-05-27,0,1,0,3.0,0,321630.8309235,0.0,2380752.0
148,2013-05-28,0,1,0,3.0,0,307329.1680565,0.0,2369433.0
149,2013-05-29,0,1,0,3.0,0,309333.380899,0.0,2441010.0
150,2013-05-30,0,1,0,3.0,0,304344.849939,0.0,2542716.0
151,2013-05-31,0,1,0,3.0,0,330257.841975,0.0,2538393.0
152,2013-06-01,0,1,0,3.0,0,566901.814988,0.0,3357420.0
153,2013-06-02,0,1,0,3.0,0,637698.494958,0.0,3234594.0
154,2013-06-03,0,1,0,3.0,0,426332.097995,0.0,2661384.0
155,2013-06-04,0,1,0,3.0,0,369705.160085,0.0,2515029.0
156,2013-06-05,0,1,0,3.0,0,361791.080915,0.0,2560965.0
157,2013-06-06,0,1,0,3.0,0,317496.765891,0.0,2385306.0
158,2013-06-07,0,1,0,3.0,0,357673.087977,0.0,2607462.0
159,2013-06-08,0,1,0,3.0,0,466292.699096,0.0,2962839.0
160,2013-06-09,0,1,0,3.0,0,526804.730256,0.0,2961783.0
161,2013-06-10,0,1,0,3.0,0,349754.291978,0.0,2460018.0
162,2013-06-11,0,1,0,3.0,0,283858.2159925,0.0,2264988.0
163,2013-06-12,0,1,0,3.0,0,320173.5779987,0.0,2421738.0
164,2013-06-13,0,1,0,3.0,0,282886.9200452,0.0,2300199.0
165,2013-06-14,0,1,0,3.0,0,326956.74210719997,0.0,2522322.0
166,2013-06-15,0,1,0,3.0,0,505950.6668701,0.0,3383853.0
167,2013-06-16,0,1,0,3.0,0,435894.082881,0.0,2898687.0
168,2013-06-17,0,1,0,3.0,0,370944.271024,0.0,2515788.0
169,2013-06-18,0,1,0,3.0,0,320885.3399215,0.0,2414907.0
170,2013-06-19,0,1,0,3.0,0,319235.25797700003,0.0,2264229.0
171,2013-06-20,0,1,0,3.0,0,293877.944015,0.0,2309472.0
172,2013-06-21,0,1,0,3.0,0,319722.6870265,0.0,2432661.0
173,2013-06-22,0,1,0,3.0,0,446347.312096,0.0,2926473.0
174,2013-06-23,0,0,1,2.0,0,504964.845142,0.0,2843016.0
175,2013-06-24,0,1,0,3.0,0,336631.9640383,0.0,2422299.0
176,2013-06-25,0,0,1,2.0,0,610239.060128,0.0,4656234.0
177,2013-06-25,0,0,1,1.0,0,305119.530064,0.0,2328117.0
178,2013-06-26,0,1,0,3.0,0,301847.2489636,0.0,2343297.0
179,2013-06-27,0,1,0,3.0,0,266525.458966,0.0,2222220.0
180,2013-06-28,0,1,0,3.0,0,324210.971803,0.0,2447676.0
181,2013-06-29,0,1,0,3.0,0,509379.108146,0.0,3086523.0
182,2013-06-30,0,1,0,3.0,0,533481.693027,0.0,2887533.0
183,2013-07-01,0,1,0,3.0,0,441758.3880965,0.0,2701050.0
184,2013-07-02,0,1,0,3.0,0,390958.38408,0.0,2613171.0
185,2013-07-03,0,0,1,2.0,0,749103.835898,0.0,5176842.0
186,2013-07-04,0,1,0,3.0,0,327020.179028,0.0,2496912.0
187,2013-07-05,0,1,0,3.0,0,351401.500074,0.0,2564430.0
188,2013-07-06,0,1,0,3.0,0,479514.493924,0.0,3040356.0
189,2013-07-07,0,1,0,3.0,0,500606.073078,0.0,2878227.0
190,2013-07-08,0,1,0,3.0,0,365452.995017,0.0,2556312.0
191,2013-07-09,0,1,0,3.0,0,317279.1449993,0.0,2410353.0
192,2013-07-10,0,1,0,3.0,0,314134.886071,0.0,2419527.0
193,2013-07-11,0,1,0,3.0,0,281750.931023,0.0,2265846.0
194,2013-07-12,0,1,0,3.0,0,308786.438133,0.0,2417613.0
195,2013-07-13,0,1,0,3.0,0,432569.1022205,0.0,2906079.0
196,2013-07-14,0,1,0,3.0,0,438722.417857,0.0,2693526.0
197,2013-07-15,0,1,0,3.0,0,348803.0469486,0.0,2531661.0
198,2013-07-16,0,1,0,3.0,0,335516.229006,0.0,2499915.0
199,2013-07-17,0,1,0,3.0,0,324313.8180255,0.0,2437347.0
200,2013-07-18,0,1,0,3.0,0,287074.8739522,0.0,2290167.0
201,2013-07-19,0,1,0,3.0,0,313332.555049,0.0,2416623.0
202,2013-07-20,0,1,0,3.0,0,435497.731013,0.0,2892549.0
203,2013-07-21,0,1,0,3.0,0,437952.624049,0.0,2666367.0
204,2013-07-22,0,1,0,3.0,0,342802.29905,0.0,2500443.0
205,2013-07-23,0,0,1,2.0,0,316257.463107,0.0,2430450.0
206,2013-07-24,1,0,0,2.0,0,309243.7899995,0.0,2404908.0
207,2013-07-25,0,0,1,2.0,0,298074.2249247,0.0,2335080.0
208,2013-07-26,0,1,0,3.0,0,318745.692921,0.0,2450910.0
209,2013-07-27,0,1,0,3.0,0,423890.5020012,0.0,2858856.0
210,2013-07-28,0,1,0,3.0,0,433358.6520873,0.0,2631057.0
211,2013-07-29,0,1,0,3.0,0,331493.2850525,0.0,2406063.0
212,2013-07-30,0,1,0,3.0,0,318553.989932,0.0,2392896.0
213,2013-07-31,0,1,0,3.0,0,357982.979012,0.0,2567829.0
214,2013-08-01,0,1,0,3.0,0,397555.3181021,0.0,2598420.0
215,2013-08-02,0,1,0,3.0,0,393831.120007,0.0,2611191.0
216,2013-08-03,0,1,0,3.0,0,516956.846013,0.0,3099558.0
217,2013-08-04,0,1,0,3.0,0,514267.27594,0.0,2864565.0
218,2013-08-05,0,0,1,2.0,0,407033.810946,0.0,2708640.0
219,2013-08-06,0,1,0,3.0,0,357263.854086,0.0,2571591.0
220,2013-08-07,0,1,0,3.0,0,351302.132003,0.0,2555058.0
221,2013-08-08,0,1,0,3.0,0,310953.0239315,0.0,2395536.0
222,2013-08-09,0,1,0,3.0,0,337521.667868,0.0,2552913.0
223,2013-08-10,0,0,1,0.0,0,434184.94409,0.0,2819652.0
224,2013-08-11,0,1,0,3.0,0,434720.3230013,0.0,2648844.0
225,2013-08-12,0,1,0,3.0,0,349539.224033,0.0,2518461.0
226,2013-08-13,0,1,0,3.0,0,317103.331061,0.0,2463780.0
227,2013-08-14,0,1,0,3.0,0,324377.386893,0.0,2448963.0
228,2013-08-15,0,0,1,2.0,0,311043.17291,0.0,2449260.0
229,2013-08-16,0,1,0,3.0,0,364487.3218839,0.0,2629044.0
230,2013-08-17,0,1,0,3.0,0,448835.3109167,0.0,2933304.0
231,2013-08-18,0,1,0,3.0,0,464053.7730675,0.0,2747151.0
232,2013-08-19,0,1,0,3.0,0,362085.52696,0.0,2544300.0
233,2013-08-20,0,1,0,3.0,0,343046.11398,0.0,2528757.0
234,2013-08-21,0,1,0,3.0,0,335724.643932,0.0,2528229.0
235,2013-08-22,0,1,0,3.0,0,306473.26098,0.0,2350260.0
236,2013-08-23,0,1,0,3.0,0,331906.369098,0.0,2502852.0
237,2013-08-24,0,0,1,2.0,0,420576.154994,0.0,2887566.0
238,2013-08-25,0,1,0,3.0,0,443694.093754,0.0,2724414.0
239,2013-08-26,0,1,0,3.0,0,347159.6410143,0.0,2513709.0
240,2013-08-27,0,1,0,3.0,0,319688.2190185,0.0,2427744.0
241,2013-08-28,0,1,0,3.0,0,319322.060993,0.0,2474307.0
242,2013-08-29,0,1,0,3.0,0,294518.685943,0.0,2372601.0
243,2013-08-30,0,1,0,3.0,0,354932.930947,0.0,2565717.0
244,2013-08-31,0,1,0,3.0,0,523631.3811059,0.0,3181200.0
245,2013-09-01,0,1,0,3.0,0,640406.221875,0.0,3163743.0
246,2013-09-02,0,1,0,3.0,0,458792.960966,0.0,2784804.0
247,2013-09-03,0,1,0,3.0,0,397680.420032,0.0,2634522.0
248,2013-09-04,0,1,0,3.0,0,392565.48591,0.0,2651880.0
249,2013-09-05,0,1,0,3.0,0,330622.779063,0.0,2465232.0
250,2013-09-06,0,1,0,3.0,0,335442.247929,0.0,2461107.0
251,2013-09-07,0,1,0,3.0,0,518584.247,0.0,3162918.0
252,2013-09-08,0,1,0,3.0,0,560852.005091,0.0,3102495.0
253,2013-09-09,0,1,0,3.0,0,377151.7070027,0.0,2546577.0
254,2013-09-10,0,1,0,3.0,0,308074.4658225,0.0,2391939.0
255,2013-09-11,0,1,0,3.0,0,323124.61885,0.0,2451471.0
256,2013-09-12,0,1,0,3.0,0,282855.730937,0.0,2259774.0
257,2013-09-13,0,1,0,3.0,0,319556.942029,0.0,2409627.0
258,2013-09-14,0,1,0,3.0,0,476364.004996,0.0,3047088.0
259,2013-09-15,0,1,0,3.0,0,532852.959041,0.0,2983530.0
260,2013-09-16,0,1,0,3.0,0,373229.840879,0.0,2547237.0
261,2013-09-17,0,1,0,3.0,0,327282.949966,0.0,2405931.0
262,2013-09-18,0,1,0,3.0,0,315687.718926,0.0,2392896.0
263,2013-09-19,0,1,0,3.0,0,279580.372008,0.0,2217897.0
264,2013-09-20,0,1,0,3.0,0,331846.9039701,0.0,2451405.0
265,2013-09-21,0,1,0,3.0,0,468298.380896,0.0,3020952.0
266,2013-09-22,0,1,0,3.0,0,502068.7019007,0.0,2887929.0
267,2013-09-23,0,1,0,3.0,0,356043.0340047,0.0,2482029.0
268,2013-09-24,0,1,0,3.0,0,303333.392926,0.0,2321484.0
269,2013-09-25,0,1,0,3.0,0,312490.104996,0.0,2363229.0
270,2013-09-26,0,1,0,3.0,0,273057.8798588,0.0,2208162.0
271,2013-09-27,0,1,0,3.0,0,320246.574024,0.0,2389497.0
272,2013-09-28,0,0,1,2.0,0,484903.6890081,0.0,3013032.0
273,2013-09-29,0,1,0,3.0,0,522868.441946,0.0,2879844.0
274,2013-09-30,0,1,0,3.0,0,367068.4500143,0.0,2457015.0
275,2013-10-01,0,1,0,3.0,0,436441.034076,0.0,2662770.0
276,2013-10-02,0,1,0,3.0,0,414455.6550375,0.0,2657160.0
277,2013-10-03,0,1,0,3.0,0,348933.24703,0.0,2435169.0
278,2013-10-04,0,1,0,3.0,0,378109.978059,0.0,2579577.0
279,2013-10-05,0,1,0,3.0,0,540156.625057,0.0,3212385.0
280,2013-10-06,0,1,0,3.0,0,553031.424016,0.0,3007719.0
281,2013-10-07,0,0,1,2.0,0,373387.109043,0.0,2550570.0
282,2013-10-08,0,1,0,3.0,0,326726.7240121,0.0,2433024.0
283,2013-10-09,0,0,1,0.0,1,322529.418957,0.0,2415798.0
284,2013-10-10,0,1,0,3.0,0,305047.0980576,0.0,2351217.0
285,2013-10-11,1,1,0,0.0,0,402913.849028,0.0,2667654.0
286,2013-10-12,0,1,0,3.0,0,426379.6909939,0.0,2805099.0
287,2013-10-13,0,1,0,3.0,0,481781.2559686,0.0,2750781.0
288,2013-10-14,0,1,0,3.0,0,342694.7209944,0.0,2395437.0
289,2013-10-15,0,1,0,3.0,0,305242.569986,0.0,2343693.0
290,2013-10-16,0,1,0,3.0,0,355696.963943,0.0,2438766.0
291,2013-10-17,0,1,0,3.0,0,312949.412961,0.0,2336598.0
292,2013-10-18,0,1,0,3.0,0,323327.873107,0.0,2370621.0
293,2013-10-19,0,1,0,3.0,0,488245.570001,0.0,3075765.0
294,2013-10-20,0,1,0,3.0,0,537713.5090483,0.0,3009930.0
295,2013-10-21,0,1,0,3.0,0,348721.327971,0.0,2453121.0
296,2013-10-22,0,1,0,3.0,0,301641.7850828,0.0,2296173.0
297,2013-10-23,0,1,0,3.0,0,323105.11598,0.0,2353593.0
298,2013-10-24,0,1,0,3.0,0,276059.0800025,0.0,2231097.0
299,2013-10-25,0,1,0,3.0,0,317570.4260338,0.0,2376330.0
300,2013-10-26,0,1,0,3.0,0,452902.363914,0.0,2951883.0
301,2013-10-27,0,1,0,3.0,0,512891.4830689,0.0,2866116.0
302,2013-10-28,0,1,0,3.0,0,346941.91396,0.0,2421342.0
303,2013-10-29,0,1,0,3.0,0,302332.9969864,0.0,2283765.0
304,2013-10-30,0,1,0,3.0,0,319494.7050373,0.0,2384118.0
305,2013-10-31,0,1,0,3.0,0,298195.433106,0.0,2361249.0
306,2013-11-01,0,1,0,3.0,0,403637.232955,0.0,2619705.0
307,2013-11-02,0,0,1,0.0,0,540615.555037,0.0,3100317.0
308,2013-11-03,0,0,1,0.0,0,602796.556029,0.0,3005805.0
309,2013-11-04,0,1,0,3.0,0,424314.167046,0.0,2627790.0
310,2013-11-05,0,1,0,3.0,0,393322.182909,0.0,2519616.0
311,2013-11-06,0,0,1,1.0,0,386426.9788195,0.0,2512884.0
312,2013-11-07,0,0,1,1.0,0,346293.3400477,0.0,2329767.0
313,2013-11-08,0,1,0,3.0,0,358473.978049,0.0,2463318.0
314,2013-11-09,0,1,0,3.0,0,513850.32307,0.0,3015111.0
315,2013-11-10,0,0,1,2.0,0,587666.490239,0.0,3025737.0
316,2013-11-11,0,0,1,2.0,0,374087.890067,0.0,2481402.0
317,2013-11-12,0,0,1,2.0,0,373277.748034,0.0,2383425.0
318,2013-11-13,0,1,0,3.0,0,332279.2568851,0.0,2362800.0
319,2013-11-14,0,1,0,3.0,0,284567.4029707,0.0,2219844.0
320,2013-11-15,0,1,0,3.0,0,349383.296052,0.0,2468532.0
321,2013-11-16,0,1,0,3.0,0,524065.5881155,0.0,3104277.0
322,2013-11-17,0,1,0,3.0,0,579209.228924,0.0,2981781.0
323,2013-11-18,0,1,0,3.0,0,391945.551999,0.0,2512389.0
324,2013-11-19,0,1,0,3.0,0,329455.2710234,0.0,2359368.0
325,2013-11-20,0,1,0,3.0,0,354337.734795,0.0,2474934.0
326,2013-11-21,0,1,0,3.0,0,298047.047965,0.0,2283534.0
327,2013-11-22,0,1,0,3.0,0,340734.213038,0.0,2424378.0
328,2013-11-23,0,1,0,3.0,0,485544.298837,0.0,3009171.0
329,2013-11-24,0,1,0,3.0,0,550925.293106,0.0,2896443.0
330,2013-11-25,0,1,0,3.0,0,365965.5090102,0.0,2440878.0
331,2013-11-26,0,1,0,3.0,0,323292.830024,0.0,2332770.0
332,2013-11-27,0,1,0,3.0,0,337083.286026,0.0,2361843.0
333,2013-11-28,0,1,0,3.0,0,305982.981947,0.0,2306568.0
334,2013-11-29,0,1,0,3.0,0,357000.404165,0.0,2468928.0
335,2013-11-30,0,1,0,3.0,0,541977.655801,0.0,3112263.0
336,2013-12-01,0,1,0,3.0,0,698217.128989,0.0,3198030.0
337,2013-12-02,0,1,0,3.0,0,495488.366984,0.0,2731344.0
338,2013-12-03,0,1,0,3.0,0,424438.046973,0.0,2634060.0
339,2013-12-04,0,1,0,3.0,0,424147.0459855,0.0,2657457.0
340,2013-12-05,1,0,0,2.0,0,386406.804985,0.0,2556378.0
341,2013-12-06,0,0,1,2.0,0,432661.755068,0.0,2665179.0
342,2013-12-07,0,1,0,3.0,0,537181.319801,0.0,3140280.0
343,2013-12-08,0,0,1,2.0,0,588855.895921,0.0,3040686.0
344,2013-12-09,0,1,0,3.0,0,442309.3141075,0.0,2649042.0
345,2013-12-10,0,1,0,3.0,0,414421.695986,0.0,2617758.0
346,2013-12-11,0,1,0,3.0,0,422957.198908,0.0,2707815.0
347,2013-12-12,0,1,0,3.0,0,384256.080979,0.0,2641485.0
348,2013-12-13,0,1,0,3.0,0,434657.0129787,0.0,2790414.0
349,2013-12-14,0,1,0,3.0,0,554911.917024,0.0,3344220.0
350,2013-12-15,0,1,0,3.0,0,642015.7758165,0.0,3373887.0
351,2013-12-16,0,1,0,3.0,0,516060.290853,0.0,3055305.0
352,2013-12-17,0,1,0,3.0,0,480470.71684249997,0.0,3105399.0
353,2013-12-18,0,1,0,3.0,0,527481.336925,0.0,3377748.0
